Facility,ICE Dedicated /Non-Dedicated,Address,ICE Field Office,State,Contract Type ,Facility Operator,FY20 ALOS,FY20 Male Crim,FY20 Male Non-Crim,FY20 Female Crim,FY20 Female Non-Crim,FY 2020 ADP (Fac List on 09/08/20),FY21 ALOS,FY21 Male Crim,FY21 Male Non-Crim,FY21 Female Crim,FY21 Female Non-Crim,FY 2021 ADP (Fac List on 01/04/21),FY 2021 ADP (Fac List on 02/08/21),FY20 Guaranteed Min,FY21 Guaranteed Min
Caroline Detention Facility,Dedicated,"11093 SW Lewis Memorial Dr Bowling Green, VA, 22427",Washington D.C.,Virginia,DIGSA,GOV,57.8,134.5,66.2,6.9,18.1,230,35,138,37,0,0,176,176,224,224
Carver County Jail,Non-Dedicated,"600 East Fourth Street Chaska, MN 55318",St. Paul,Minnesota,IGSA,GOV,26.2,9.2,2,0.5,0.4,12,32,6,0,0,0,6,5,0,
Carver County Juvenille  Detention Center,Non-Dedicated,"600 East Fourth Street Chaska, MN 55318",St. Paul,Minnesota,JUVENILE,GOV,,,,,,0,,,,,,0,0,,
Cascade County Jail (Montana),Non-Dedicated,"3800 Ulm North Frontage Road
Great Falls, MT 59404",St. Louis,Montana,USMS IGA,GOV,,,,,,1,,,,,,0,0,,
Catahoula Correctional Center,Non-Dedicated,"499 Old Columbia Road
Harrisonburg, Louisiana 71340",New Orleans,Louisiana,IGSA,LASALLE,28.2,138.2,248.5,0,0,409,,,,,,,,625,
Central Arizona Detention Center,,"1155 North Pinal Parkway Florence, AZ, 85132",Phoenix,Arizona,,CORECIVIC,,,,,,,,,,,,,,,
Central Texas Detention Center,Non-Dedicated,"218 S Laredo St. San Antonio, TX 78207",San Antonio,Texas,USMS IGA,GEO,,,,,,0,,,,,,0,0,,
Charleston County Detention Center (Sheriff Al Cannon Detention Center),Non-Dedicated,"3841 Leeds Avenue North Charleston, SC 29405",Atlanta,South Carolina,USMS IGA,GOV,2.9,5.9,2.6,0.1,0.2,9,,,,,,1,0,0,
Chase County Detention Facility,Non-Dedicated,"
301 S. Walnut Cottonwood Falls, KS 66845",Chicago,Kansas,IGSA,GOV,39.6,45.6,21,2,0.7,70,35,44,15,1,1,61,55,0,
Chautauqa County Jail,Non-Dedicated,"15 E Chautauqua St Mayville, NY 14757",Buffalo,New York,IGSA,GOV,49.3,0,0,1.6,0.2,2,,,,,,1,1,0,
Chippewa County SSM,Non-Dedicated,"325 Court St Sault Ste. Marie, MI 49783",Detroit,Michigan,IGSA,GOV,68.7,13.8,7.6,1.5,1.6,25,203,9,1,1,0,12,10,0,
Christian County Jail,Non-Dedicated,"110 W Elm St Ozark, MO 65721",Chicago,Missouri,IGSA,GOV,26.9,5.8,4.5,0.2,0,10,20,5,4,1,0,9,9,0,
Cibola County Correctional Center,Non-Dedicated,"2000 Cibola Loop Milan, NM, 87021",El Paso,New Mexico,IGSA,CORECIVIC,40.7,19.6,32.2,0.2,0.1,55,,,,,,2,1,150,
Clay County Justice Center,Non-Dedicated,"611 East Jackson Street Brazil, IN, 47834",Chicago,Indiana,USMS IGA,GOV,9.4,34.4,18.7,1.5,1,54,18,30,28,2,1,61,58,0,
Clinton County Correctional Facility,Non-Dedicated,"58 Pine Mountain Road McElhattan, PA, 17748",Philadelphia,Pennsylvania,USMS IGA,GOV,30.8,74.8,1.1,0,0,76,35,81,0,1,0,82,81,0,
Clinton County Jail,Non-Dedicated,"25 McCarthy Drive Plattsburgh, NY, 12901",Buffalo,New York,USMS IGA,GOV,12.7,2.3,3.1,1.6,0.5,8,17,0,5,0,1,6,7,0,
Cobb County Jail,Non-Dedicated,"1825 County Services PkwyMarietta, GA 30008",Atlanta,Georgia,IGSA,GOV,1.9,1.2,0.4,0.1,0.1,2,2,1,0,0,0,1,1,0,
Collier County Naples Jail Center,Non-Dedicated,"3301 Tamiami Trail ENaples, FL 34112",Miami,Florida,IGSA,GOV,2.2,3.8,1.7,0.1,0.2,6,3,3,2,0,,5,5,0,
Columbia Regional Care Center,,"7901 Farrow Rd, Columbia, SC 29203",Atlanta,South Carolina,,GOV,,,,,,,,,,,,,,,
Compass House Shelter,Non-Dedicated,"370 Linwood AveBuffalo, NY 14209",Buffalo,New York,JUVENILE,GOV,,,,,,,,,,,,0,0,,
Costal Bend Detention Center,Non-Dedicated,"4909 FM 2826, Robstown, TX 78380",Houston,Texas,USMS IGA,GEO,2.4,12.8,4.5,0,0,18,2,2,2,0,0,3,5,0,
Cowlitz County Juvenille,Non-Dedicated,"1725 1st AveLongview, WA 98632",Seattle,Washington,JUVENILE,GOV,139.9,0.7,1.9,0.5,0,3,277,3,0,0,0,3,3,0,
Cumberland County Jail,Non-Dedicated,"50 County Way, Portland, ME 04102",Boston,Maine,USMS IGA,GEO,3.3,0.5,0.8,0.1,0.1,1,,,,,,4,3,0,
Dakota County Jail,Non-Dedicated,"1601 Broadway Street, Dakota City, NE, 68731",St. Paul,Nebraska,USMS IGA,GOV,3.5,0.9,0.2,0.1,0,1,,,,,,0,0,0,
